saga,song,character,lines
The Ocean Saga,Ruthlessness,Laestrygonians,"Poseidon, Poseidon, Poseidon, Poseidon, Poseidon, Poseidon, Poseidon

I'm left without a choice

And without a doubt

Guess the pack of wolves is swimming with the shark now

I've gotta make you bleed

I need to see you drown

But before you go, I need to make you learn how

Ruthlessness is mercy upon ourselves

Ruthl?ssness is mercy upon ourselv?s

Ruthlessness is mercy upon ourselves

Ourselves

You are the worst kind of good

'Cause you're not even great

A Greek who reeks of false righteousness

That's what I hate

'Cause you fight to save lives

But won't kill and don't get the job done

I mean you totally could have avoided all this

Had you just killed my son

But no

You are far too nice

Mercy has a price

It's the final crack, we're about to break the ice now

You reveal your name

Then you let him live

Unlike you I've got no mercy left to give 'cause

Ruthlessness is mercy upon ourselves

Ruthlessness is mercy upon ourselves

Ruthlessness is mercy upon ourselves

Ourselves

And now it is finally time

To say goodbye

Today, you die

Unless, of course, you apologize

For my son's pain

And all his cries

Ruthlessness is mercy-

Ruthlessness is (Captain) mercy upon our- Captain

Ruthlessness is (Captain) mercy upon our- Captain

Ruthlessness is (Captain) mercy upon our- Captain

Ruthlessness is (Captain)"
The Ocean Saga,Storm,Perimedes,"Captain, look!"
The Ocean Saga,Storm,Elpenor,"Captain, look!"
The Thunder Saga,Different Beast,Siren,What?
The Thunder Saga,Different Beast,Sirens,"Spare us

Oh, spare us please

No!"
The Thunder Saga,Scylla,Scylla,"Deep down, we're lonely demons from hell

Drown in your sorrow and fears

Choke on your blood and your tears

Bleed til you've run out of years

We must do what it takes to survive

Give up your honor and faith

Live up your life as a wraith

Die in the blood where you bathe

We must do it takes to survive"
The Thunder Saga,Suffering,Sirens,"Penelope (Ah, oh)

Penelope (Ah, oh)"
The Troy Saga,Full Speed Ahead,Odyssseus,"Six hundred men, six hundred men under my command

With only one goal in mind

Make it back alive to our homeland

Six hundred men, six hundred miles of open sea

But the problem's not the distance

It's what lies in between

And Ithaca's waiting Ithaca's waiting

My kingdom is waiting The kingdom is waiting

Penelope's waiting for me

So full speed ahead, full speed ahead

Watch where the birds fly

Watch where the birds fly

They will lead us to land

They will lead us to land

There we'll hunt for food, my second in command

Now full speed ahead, full speed ahead

Give me 'til sunrise, and if we don't return

Then six hundred men can make this whole place burn

Now full speed ahead

Full speed ahead

Full speed ahead

We're up, we're off, and away we go

We're up, we're off, and away we go

Full speed ahead

We're up, we're off, and away we go

We're up, we're off, and a-

Full speed ahead"
The Troy Saga,Open Arms,Lotus Eaters,"Welcome

Stay back

Food

Food

Food (Num num num)

Here you go

The cave (Scary cave)

East (That way)

Welcome"
The Troy Saga,Warrior of the Mind,Both,"Make a greater tomorrow, then they'll see

I know we'll change the world

'Cause we are the warriors of the mind

Maybe one day we'll reach them

And we can build their skills as we teach them

If there's a problem, we'll have the answer

We are the warriors of the mind"
The Underworld Saga,No Longer You,Tiresias,"I am the prophet with the answers you seek

Time, I've unlocked it

I see past and future running free

There is a world where I help you get home

But that's not a world I know

I see a song of past romance

I see the sacrifice of man

I see portrayals of betrayals

And a brother's final stand

I see you on the brink of death

I see you draw your final breath

I see a man who gets to make it home alive

But it's no longer you"
The Underworld Saga,The Underworld,Fallen Soldiers,"When does a man become a monster?

558 men who died under your command

Captain! Captain! Captain! Captain!

Why would you let the cyclops live

When ruthlessness is mercy?"
The Vengeance Saga,Dangerous,Hermes,"Ahahahahaha, hello old friend

You're being given a final option

Consider this your one last chance

To make it back home and abandon caution

Wash it away like the blood your hands have known

I know if you dance with fate

Then I know, I know you'll enhance your state

Well it's a little bit dangerous, my friend

You'll need a mindset change for this

You cannot get away with playing safe for this

You wanna get home?

Put it all on the line

And put your whol? brain in it

Remember ?very trick in your domain for this

You gotta treat it like it is the main event

You wanna get home?

Put it all on the line

Be dangerous

First stop, uncharted waters

When lost, look towards the sky

Follow the north star, no matter how far

You think you're going, you keep on rowing

When strangers lurk around the isle

When danger greets you with a smile

Fight your way through, do what you must do

But no matter what, keep moving

It's gonna be dangerous, my friend

You'll need a mindset change for this

You cannot get away with playing safe for this

You wanna get home?

Put it all on the line

And put your whole brain in it

Remember every trick in your domain for this

You gotta treat it like it is the main event

You wanna get home?

Put it all on the line

Be dangerous"
The Vengeance Saga,Not Sorry For Loving You,Calypso,"Someone arrived today

They said they're taking you away

That you're not mine to save

And soon I won't get to see your face

So I came by to say

You're unlike anyone I have ever?known

'Cause?you're?all I've ever?known

And if I?pushed you

Or if I came on too strong

Or if I ambushed you

For that, I'll say I was wrong

And if you hate me

Then I am sorry my love's too much for you

But I'm not sorry for loving you

I'm not sorry for loving you

I'm not sorry for loving you

I'm not sorry for loving you

Let me speak

I spent my whole life here

Was cast away when I was young

Alone for a hundred years

I had no friends but the sky and sun

So when you washed ashore

I thought for sure that you were my dream come true

I thought I knew

So if I pushed you

Or if I came on too strong

Or if I ambushed you

For that, I'll say I was wrong

And if you hate me

Then I am sorry my love's too much for you

Ooh-ooh-ooh-ooh

But I'm not sorry for loving you

I'm not sorry for loving you

I'm not sorry for loving you

I'm not sorry for loving you

I'm not sorry

I'm angry and tired and restless and sad

I'm stuck in the moments I swore that we had

I wish you would chase me

Or try to embrace me

For once, I wish you would lie and say

You do?

I hate that I fell in love with you

Hate that I fell in love with you

Why did I fall in love with you?

Why did I fall in love with you?

What do I do with this love for you?

What do I do with this love for you?

How am I supposed to get over you?

How am I supposed to get over you?

Why in the world won't you love me too?"
The Wisdom Saga,God Games,Apollo,"Great

You all know I'm a fan of catchy songs

So with so many sirens gone

I think Ody's in the wrong

If that's true, release him"
The Wisdom Saga,God Games,Hephaestus,"Very well

Trust is not given; it's forged

Why should I give him my support?

He sacrificed his own cohort

Fine, release him"
The Wisdom Saga,God Games,Aphrodite,"Eh

Your little high and mighty Odysseus

Claims to love his mother but lets her die of a broken heart

More like busy spiting the cyclops

Let him feel the pain that his mother felt and rot

Ugh, release him"
The Wisdom Saga,God Games,Ares,"Alright

Really, Athena? These old tricks?

What kind of sick coward holds back his power

While his friends get devoured?

He didn't even fight Scylla, didn't even try to kill her

Hides inside a wooden horse to get the job done

Never handles things upfront

Pathetic and weak like his son

Ugh, release him

Is she dead?"
The Wisdom Saga,God Games,Hera,"Groovy

Hey, baby

So many heroes, so many tales

Give me one good reason why yours should prevail

Try harder

You can do better than that

Eh

Release him"
The Wisdom Saga,Little Wolf,Antinuous,"Fight, little wolf, fight

Wanna entertain me?

Bite, little wolf, bite

Let's see how you take this

Strike, little wolf, strike

Wanna be a man? Then

Fight, little wolf, fight, little wolf, fight

You've made your worst mistake here, might be your last one too

You'll have run out of bones to break when you and I are through

I'll teach you all the lessons your daddy never could

This cruel world doesn't give out presents just for being good

So

Fight, little wolf, fight

Wanna entertain m??

Bite, little wolf, bite

L?t's see how you take this

Strike, little wolf, strike

Wanna be a man? Then

Fight, little wolf, fight, little wolf, fight

Or die, little wolf, die

Don't you know it's fight or

Fly, little wolf, fly

All because you had to

Try, little wolf try

Run away before you

Die, little wolf, die, little wolf, die"
The Wisdom Saga,Little Wolf,The Suitors,"Fight, little wolf, fight

Wanna entertain me?

Bite, little wolf, bite

Let's see how you take this

Strike, little wolf, strike

Wanna be a man? Then

Fight, little wolf, fight, little wolf, fight

You've made your worst mistake here, might be your last one too

You'll have run out of bones to break when you and I are through

I'll teach you all the lessons your daddy never could

This cruel world doesn't give out presents just for being good

So

Fight, little wolf, fight

Wanna entertain m??

Bite, little wolf, bite

L?t's see how you take this

Strike, little wolf, strike

Wanna be a man? Then

Fight, little wolf, fight, little wolf, fight

Or die, little wolf, die

Don't you know it's fight or

Fly, little wolf, fly

All because you had to

Try, little wolf try

Run away before you

Die, little wolf, die, little wolf, die"
The Wisdom Saga,Love in Paradise,Calypso,"Morning sleepyhead

You've been resting for a while

I swore that you were dead

When you washed up on my isle

Did you know you talk in your sleep?

Tell me, though, who's Penelope?

Anyways, I've got all you could want here

All you could need here

Just you and me, my dear my love for life

Soon into bed we'll climb and spend our time

I'm what you want here

I'm what you need here

Just you and me, my love in paradise

Now til the end of time

From here on out, you're mine, all mine

Oh handsome, you may try

But last I checked, goddesses can't die

You're adorable

Bow down now to the immortal Calypso, here to entertain

But fear not, I bring no pain

Cause we've got

All we could want here

All we could need here

Under my spell, we're stuck in paradise

No one can come nor go, my island stays unknown

You're mine, all mine"
The Wisdom Saga,We’d Be Fine,Telemahcus,"I don't know who this friend is

Or if he's worth the hype but

My time with you has been splendid

The best day of my life

Cause I got in a fight, sailed to an island

When I've never left home shores

You're the friend I've never had before

And so I think maybe, if life wasn't spent as planned

Maybe, it's time that you lend a hand

I don't think he'll mind

If not his friend then mine"
